condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+15% Stronger (1.15x),1.15,1,600,player_0,Champion PPO 1,1.0,0.0,1.0,62.91,83.0,1.364,1.0
+15% Stronger (1.15x),1.15,1,600,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.12,17.0,0.619,0.0
+15% Stronger (1.15x),1.15,1,600,player_2,Champion PPO 2,0.0,0.0,0.0,26.31,29.0,1.2354,0.0
+15% Stronger (1.15x),1.15,1,600,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.53,22.0,0.6265,0.0
+15% Stronger (1.15x),1.15,1,600,player_4,Champion PPO 3,0.0,1.0,0.0,19.23,15.0,1.4603,0.0
+15% Stronger (1.15x),1.15,1,600,player_5,Guided Diffusion 3,0.0,0.0,0.0,17.53,9.0,0.6455,0.0
+15% Stronger (1.15x),1.15,2,619,player_0,Champion PPO 1,0.0,0.0,0.0,24.44,23.0,1.3207,0.0
+15% Stronger (1.15x),1.15,2,619,player_1,Guided Diffusion 1,0.0,1.0,0.0,22.1,20.0,0.5562,0.0
+15% Stronger (1.15x),1.15,2,619,player_2,Champion PPO 2,1.0,0.0,1.0,53.63,72.0,1.3982,2.0
+15% Stronger (1.15x),1.15,2,619,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.78,18.0,0.421,0.0
+15% Stronger (1.15x),1.15,2,619,player_4,Champion PPO 3,0.0,0.0,0.0,27.0,31.0,1.2803,0.0
+15% Stronger (1.15x),1.15,2,619,player_5,Guided Diffusion 3,0.0,0.0,0.0,27.81,32.0,0.5413,0.0
+15% Stronger (1.15x),1.15,3,638,player_0,Champion PPO 1,0.0,0.0,0.0,21.68,18.0,1.3655,0.0
+15% Stronger (1.15x),1.15,3,638,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.15,29.0,0.5017,0.0
+15% Stronger (1.15x),1.15,3,638,player_2,Champion PPO 2,0.0,0.0,0.0,19.11,9.0,1.6,0.0
+15% Stronger (1.15x),1.15,3,638,player_3,Guided Diffusion 2,0.0,0.0,0.0,25.7,25.0,0.5359,0.0
+15% Stronger (1.15x),1.15,3,638,player_4,Champion PPO 3,0.0,0.0,0.0,39.95,60.0,1.4239,2.0
