round,player_id,paradigm,kills,deaths,peak_mass,food_eaten,action_jerk,circling_index,wall_contacts,latency_ms
1,player_0,PPO,0,0,26.53,26,2.2589,0.2016,0,0.321
1,player_1,Guided Diffusion,0,0,30.21,35,3.1095,0.1713,9,1.34
1,player_2,PPO,1,0,51.51,52,0.5442,0.1512,100,0.215
1,player_3,Guided Diffusion,0,0,29.05,33,3.1597,0.1674,30,1.303
1,player_4,PPO,0,0,29.82,40,0.4201,0.1609,127,0.204
1,player_5,Guided Diffusion,0,1,21.63,31,2.1561,0.158,23,1.289
2,player_0,PPO,5,0,110.09,90,0.8794,0.2096,7,0.279
2,player_1,Guided Diffusion,0,1,27.58,36,2.2485,0.1682,94,1.291
2,player_2,PPO,0,0,37.87,53,0.5442,0.2017,11,0.199
2,player_3,Guided Diffusion,0,1,21.49,31,2.4668,0.1731,58,1.256
2,player_4,PPO,1,1,56.91,82,0.4831,0.2645,13,0.189
2,player_5,Guided Diffusion,0,0,24.73,23,2.4829,0.1541,133,1.262
3,player_0,PPO,0,0,37.64,53,0.6029,0.1808,19,0.288
3,player_1,Guided Diffusion,0,0,30.74,38,3.2286,0.1612,52,1.272
3,player_2,PPO,0,0,42.85,65,0.4926,0.1787,7,0.203
3,player_3,Guided Diffusion,0,0,30.98,40,2.8864,0.1577,19,1.261
3,player_4,PPO,0,0,37.52,54,0.2369,0.1896,1,0.193
3,player_5,Guided Diffusion,0,0,32.43,39,3.2503,0.1515,43,1.252
4,player_0,PPO,1,0,59.27,78,0.5812,0.2422,0,0.451
4,player_1,Guided Diffusion,0,0,24.53,26,2.2708,0.1378,159,1.322
4,player_2,PPO,1,0,54.13,53,0.2353,0.1421,99,0.22
4,player_3,Guided Diffusion,2,2,43.38,44,2.3068,0.1906,17,1.285
4,player_4,PPO,1,0,55.25,55,0.5047,0.2185,40,0.206
4,player_5,Guided Diffusion,0,0,32.7,42,2.2056,0.1827,27,1.307
5,player_0,PPO,0,0,34.18,44,0.2746,0.1093,0,0.264
5,player_1,Guided Diffusion,0,0,35.62,47,3.096,0.1688,20,1.256
5,player_2,PPO,0,0,28.88,33,1.0533,0.1575,5,0.194
5,player_3,Guided Diffusion,0,0,31.44,36,3.2612,0.1637,11,1.237
5,player_4,PPO,0,0,35.25,49,0.577,0.1675,0,0.187
5,player_5,Guided Diffusion,0,0,35.86,49,3.2627,0.1653,35,1.242
6,player_0,PPO,0,0,56.84,98,0.4714,0.2259,16,0.263
6,player_1,Guided Diffusion,0,1,23.5,33,2.0684,0.1696,83,1.248
6,player_2,PPO,1,0,64.15,73,0.4084,0.1232,45,0.19
6,player_3,Guided Diffusion,0,0,33.81,45,2.094,0.1944,59,1.216
6,player_4,PPO,1,0,63.44,78,0.4768,0.2006,34,0.182
6,player_5,Guided Diffusion,0,0,36.48,52,1.7729,0.155,60,1.235
7,player_0,PPO,2,1,38.8,39,0.5303,0.1943,24,0.251
7,player_1,Guided Diffusion,0,0,38.42,51,2.6983,0.1688,24,1.239
7,player_2,PPO,0,0,48.25,75,0.4872,0.1446,3,0.19
7,player_3,Guided Diffusion,3,0,51.0,53,2.694,0.1294,1,1.215
7,player_4,PPO,1,0,51.02,48,0.6345,0.1704,2,0.18
7,player_5,Guided Diffusion,0,2,21.87,31,1.9319,0.1464,87,1.216
8,player_0,PPO,1,0,60.58,90,0.546,0.1426,110,0.271
8,player_1,Guided Diffusion,0,1,26.92,40,2.3571,0.1669,79,1.274
8,player_2,PPO,0,0,57.43,91,0.439,0.1667,0,0.195
8,player_3,Guided Diffusion,2,0,58.74,52,2.646,0.1987,17,1.249
8,player_4,PPO,0,0,24.96,28,0.3124,0.1928,98,0.189
8,player_5,Guided Diffusion,0,0,25.53,26,2.6172,0.1716,49,1.229
9,player_0,PPO,0,0,42.42,64,0.3945,0.1605,15,0.251
9,player_1,Guided Diffusion,0,0,32.01,43,1.7195,0.161,24,1.242
9,player_2,PPO,0,0,35.99,70,0.6714,0.1999,22,0.188
9,player_3,Guided Diffusion,1,0,55.03,55,2.4792,0.1964,12,1.226
9,player_4,PPO,0,0,38.89,55,0.2715,0.1652,45,0.184
9,player_5,Guided Diffusion,1,0,43.95,48,2.4227,0.1852,14,1.206
10,player_0,PPO,0,0,39.96,61,0.4943,0.2072,17,0.22
10,player_1,Guided Diffusion,0,0,28.38,35,2.2431,0.1812,29,1.251
10,player_2,PPO,1,0,60.28,92,0.6192,0.2472,0,0.182
10,player_3,Guided Diffusion,2,0,49.1,31,2.048,0.1565,15,1.221
10,player_4,PPO,1,1,52.5,55,0.4661,0.2113,30,0.175
10,player_5,Guided Diffusion,0,1,26.0,29,2.4724,0.1579,38,1.214
11,player_0,PPO,0,0,43.28,63,0.4817,0.2131,0,0.236
11,player_1,Guided Diffusion,1,0,52.41,63,2.6398,0.2112,0,1.231
11,player_2,PPO,0,0,48.37,72,0.6851,0.1703,76,0.188
11,player_3,Guided Diffusion,0,0,37.42,51,1.9511,0.1517,107,1.21
11,player_4,PPO,0,0,38.11,66,0.5621,0.2371,26,0.178
11,player_5,Guided Diffusion,1,0,48.1,62,1.9984,0.1612,0,1.21
12,player_0,PPO,0,0,65.36,112,0.629,0.2375,2,0.252
12,player_1,Guided Diffusion,0,1,24.35,35,2.1908,0.1618,52,1.255
12,player_2,PPO,1,0,49.89,49,0.5406,0.1869,127,0.191
12,player_3,Guided Diffusion,0,0,34.65,46,2.6337,0.1732,40,1.223
12,player_4,PPO,1,0,43.93,56,0.4869,0.1785,113,0.183
12,player_5,Guided Diffusion,0,0,31.42,41,2.4759,0.1521,88,1.216
13,player_0,PPO,0,0,37.45,80,0.6299,0.1782,41,0.237
13,player_1,Guided Diffusion,0,1,23.89,37,2.6768,0.1551,103,1.252
13,player_2,PPO,1,0,55.9,56,0.4401,0.1921,4,0.187
13,player_3,Guided Diffusion,0,0,32.36,41,2.478,0.1686,72,1.228
13,player_4,PPO,1,0,46.79,48,0.4497,0.1286,20,0.179
13,player_5,Guided Diffusion,0,0,24.64,24,2.2533,0.1479,53,1.23
14,player_0,PPO,2,0,72.95,65,0.2942,0.1457,101,0.296
14,player_1,Guided Diffusion,0,1,24.53,35,2.8319,0.181,65,1.32
14,player_2,PPO,1,0,64.15,75,0.5756,0.1918,1,0.209
14,player_3,Guided Diffusion,1,0,40.97,55,2.4848,0.1404,71,1.267
14,player_4,PPO,0,3,22.94,49,0.2748,0.1885,28,0.199
14,player_5,Guided Diffusion,1,0,46.86,40,2.5531,0.1539,76,1.246
15,player_0,PPO,0,0,48.18,74,0.5204,0.1636,33,0.275
15,player_1,Guided Diffusion,0,2,23.62,44,2.3715,0.1813,21,1.349
15,player_2,PPO,0,0,57.1,91,0.3735,0.1464,92,0.197
15,player_3,Guided Diffusion,0,1,20.89,29,2.5207,0.1708,54,1.283
15,player_4,PPO,2,0,70.73,57,0.5089,0.1396,156,0.194
15,player_5,Guided Diffusion,1,0,55.54,54,2.1317,0.1815,32,1.255
16,player_0,PPO,1,0,67.75,91,0.7255,0.2058,0,0.432
16,player_1,Guided Diffusion,0,0,29.27,35,2.3836,0.1866,11,1.523
16,player_2,PPO,0,0,38.5,59,0.5084,0.2538,28,0.257
16,player_3,Guided Diffusion,0,1,28.92,37,2.2235,0.1601,13,1.49
16,player_4,PPO,0,0,47.37,74,0.4137,0.1889,24,0.24
16,player_5,Guided Diffusion,0,0,32.5,45,2.4996,0.169,105,1.434
17,player_0,PPO,2,0,47.11,68,0.6324,0.1991,26,0.21
17,player_1,Guided Diffusion,0,0,39.15,59,2.2325,0.212,20,1.224
17,player_2,PPO,1,0,50.59,50,0.4786,0.1466,14,0.179
17,player_3,Guided Diffusion,1,0,52.1,45,2.3352,0.1532,0,1.21
17,player_4,PPO,0,1,23.14,28,0.3398,0.1899,47,0.174
17,player_5,Guided Diffusion,0,0,30.67,39,2.6094,0.1731,158,1.206
18,player_0,PPO,0,1,38.93,71,0.6785,0.2086,37,0.19
18,player_1,Guided Diffusion,0,0,26.78,31,2.1964,0.1891,68,1.192
18,player_2,PPO,0,0,34.91,50,0.5993,0.2124,18,0.171
18,player_3,Guided Diffusion,1,0,47.6,41,2.5779,0.1314,19,1.191
18,player_4,PPO,1,0,43.97,60,0.4036,0.1877,21,0.168
18,player_5,Guided Diffusion,1,0,54.95,49,2.961,0.2098,2,1.179
19,player_0,PPO,0,0,42.57,62,0.6243,0.2301,13,0.197
19,player_1,Guided Diffusion,0,1,22.79,37,2.3571,0.1729,0,1.201
19,player_2,PPO,1,0,49.31,45,0.554,0.2043,15,0.172
19,player_3,Guided Diffusion,0,0,38.01,53,3.0658,0.152,88,1.191
19,player_4,PPO,0,0,38.21,56,0.2398,0.1644,109,0.168
19,player_5,Guided Diffusion,1,0,46.42,46,2.4558,0.1728,10,1.248
20,player_0,PPO,1,0,59.17,74,0.3598,0.1508,11,0.193
20,player_1,Guided Diffusion,0,2,24.82,34,2.4895,0.1658,81,1.195
20,player_2,PPO,0,0,29.93,38,0.3924,0.1696,108,0.172
20,player_3,Guided Diffusion,1,0,49.48,56,2.0842,0.1557,57,1.182
20,player_4,PPO,0,0,53.33,85,0.4584,0.1813,26,0.168
20,player_5,Guided Diffusion,0,0,41.28,59,2.2124,0.1993,0,1.177
21,player_0,PPO,0,0,39.65,61,0.7066,0.1838,61,0.196
21,player_1,Guided Diffusion,0,1,27.87,52,1.7473,0.1766,50,1.193
21,player_2,PPO,1,0,52.65,50,0.5283,0.2203,78,0.173
21,player_3,Guided Diffusion,1,0,69.95,87,1.24,0.1971,0,1.202
21,player_4,PPO,0,1,31.64,57,0.4385,0.1956,68,0.169
21,player_5,Guided Diffusion,0,0,35.49,48,2.6608,0.174,54,1.188
22,player_0,PPO,0,0,34.26,49,0.8898,0.2904,22,0.188
22,player_1,Guided Diffusion,0,3,22.53,30,2.105,0.1654,110,1.192
22,player_2,PPO,2,0,69.56,63,0.2971,0.1102,37,0.17
22,player_3,Guided Diffusion,0,1,27.61,40,2.11,0.1822,49,1.177
22,player_4,PPO,2,0,69.89,56,0.2928,0.1377,27,0.166
22,player_5,Guided Diffusion,0,0,31.24,40,2.5138,0.179,71,1.176
23,player_0,PPO,0,0,36.38,57,0.6543,0.1807,0,0.191
23,player_1,Guided Diffusion,1,0,42.72,37,2.3193,0.1497,10,1.189
23,player_2,PPO,0,0,31.39,43,0.4239,0.2203,24,0.169
23,player_3,Guided Diffusion,0,0,31.59,42,2.4977,0.1849,38,1.182
23,player_4,PPO,0,0,42.39,65,0.8487,0.252,8,0.167
23,player_5,Guided Diffusion,1,0,46.74,42,2.7417,0.218,0,1.179
24,player_0,PPO,0,0,40.79,61,0.594,0.1804,5,0.188
24,player_1,Guided Diffusion,1,0,50.84,49,2.2161,0.1327,33,1.188
24,player_2,PPO,0,0,39.45,85,0.6363,0.2315,13,0.169
24,player_3,Guided Diffusion,1,0,53.39,53,2.6848,0.1689,54,1.177
